"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3012A20","공주1","2024/01/02","1회차","127°7'27.58""","36°27'59.19""","12:00","","7.1","11.7","0.9","3.7","4.605","0.050","3.0","4.3"
"3203A10","광천천","2024/01/02","1회차","126°38'32.28""","36°30'43.56""","15:20","","8.4","10.6","2.4","15.2","20.772","0.262","9.0","5.2"
"3012A32","금강","2024/01/02","1회차","127°6'.1""","36°27'52.7""","10:30","","6.9","11.8","0.9","3.7","4.216","0.044","3.1","6.4"
"3014A40","길산천1","2024/01/02","1회차","126°43'50.96""","36°4'28.9""","13:30","","7.0","11.3","1.4","4.8","1.669","0.038","2.6","4.4"
"3203A20","대천천","2024/01/02","1회차","126°35'55.3""","36°20'48.1""","14:50","","7.0","11.4","1.1","4.1","1.602","0.020","2.1","2.2"
"3101A20","무한천1","2024/01/02","1회차","126°47'9.54""","36°34'7.72""","10:35","","7.9","10.9","1.3","3.8","2.650","0.059","2.1","2.0"
"3012A42","부여","2024/01/02","1회차","126°56'39.9""","36°19'19.5""","10:20","","5.8","12.3","0.7","3.7","4.843","0.051","2.7","3.8"
"3203A30","웅천천1","2024/01/02","1회차","126°40'33.41""","36°17'27.1""","11:20","","6.9","13.3","1.5","0.8","3.783","0.021","0.7","0.4"
"3012A55","은산천","2024/01/02","1회차","126°52'17.5""","36°17'44.5""","11:40","","6.9","11.8","1.1","3.2","3.724","0.018","1.4","1.8"
"3012A50","지천1","2024/01/02","1회차","126°51'31.9""","36°19'33.9""","11:25","","6.9","12.1","0.9","2.8","2.156","0.035","1.3","0.4"
"3203A50","판교천","2024/01/02","1회차","126°40'43.68""","36°5'30.12""","14:00","","7.0","10.9","1.4","4.6","1.880","0.045","2.3","7.4"
"3101A60","곡교천2","2024/01/03","1회차","126°56'2.2""","36°49'17.9""","11:00","","8.4","10.2","4.2","6.3","9.686","0.217","4.4","5.3"
"3013A20","노성천2","2024/01/03","1회차","127°5'37.04""","36°13'8.6""","13:15","","7.5","11.5","1.3","2.6","3.819","0.067","1.4","2.6"
"3013A10","논산천2","2024/01/03","1회차","127°12'9.59""","36°10'28.47""","11:00","","7.0","11.3","0.3","2.4","3.671","0.017","0.8","1.0"
"3013A30","논산천3","2024/01/03","1회차","127°4'49.8""","36°12'35.44""","13:00","","6.9","11.4","1.2","2.8","4.251","0.074","1.5","2.2"
